index,PUNCT,SCONJ,ADJ,ADP,DET,NOUN,AUX,PROPN,ADV,VERB,PRON,CCONJ,PART,SYM,NUM,INTJ,X,Spearman Corr.,p-value,"Macro, No Outliars"
count,2451,290,1540,2493,2086,4039,1014,1727,848,2150,1021,576,426,42,455,1,16,,,
Layer 0,0.996746645,0.482435597,0.791390728,0.906834745,0.977146981,0.892980722,0.907226563,0.883044208,0.817891374,0.842776204,0.936007641,0.986899563,0.706357215,0.95,0.971365639,0,0,0.425505905,0.088602343,0.869940255
Layer 1,0.996948118,0.37279597,0.795825179,0.920131503,0.974098281,0.894961143,0.92174748,0.881384315,0.816687737,0.85190409,0.922577654,0.985204526,0.7446084,0.95,0.970165746,0,0.117647059,0.426470588,0.087804574,0.866602676
Layer 2,0.998368679,0.6598778,0.838626053,0.95804609,0.984348664,0.928598318,0.956730769,0.894011808,0.859616574,0.921933086,0.969141755,0.98694517,0.928490352,0.939759036,0.971302428,0,0.222222222,0.450980392,0.069231986,0.919719772
Layer 3,0.99938813,0.835714286,0.88107753,0.973857513,0.990141861,0.949393977,0.970530452,0.903716216,0.903535051,0.94544614,0.98100341,0.991289199,0.948216341,0.964705882,0.982417582,0,0.285714286,0.450980392,0.069231986,0.948028905
Layer 4,0.998980216,0.861209964,0.90035936,0.976214271,0.992553447,0.956175299,0.97640118,0.914561453,0.911150865,0.961502783,0.984375,0.99564839,0.962025316,0.952380952,0.980176211,0,0.285714286,0.473039216,0.055144482,0.954914314
Layer 5,0.998572303,0.879003559,0.905550146,0.977413552,0.992322457,0.959272637,0.976972073,0.916309626,0.906268657,0.964908204,0.986314761,0.997393571,0.959908362,0.941176471,0.979051819,0,0.285714286,0.512254902,0.035526524,0.956029213
Layer 6,0.998776509,0.895943563,0.90520867,0.979420579,0.991366906,0.96014944,0.9799511,0.918070226,0.912238806,0.965468969,0.986287953,0.997393571,0.96091954,0.952380952,0.974585635,0,0.19047619,0.526960784,0.029744419,0.958544161
Layer 7,0.998776509,0.893693694,0.904854369,0.9784689,0.992315082,0.958702433,0.978952521,0.918303444,0.914691943,0.964760793,0.987775061,0.997393571,0.964244521,0.963855422,0.975770925,0,0.181818182,0.492647059,0.044524526,0.959503946
Layer 8,0.998980216,0.898395722,0.903100775,0.976827807,0.991596639,0.957851548,0.977473066,0.914367816,0.906175772,0.963135791,0.987798926,0.99826087,0.965357968,0.953488372,0.974753019,0,0.285714286,0.504901961,0.038721049,0.95783762
Layer 9,0.999184007,0.901960784,0.903432788,0.979020979,0.992088228,0.958338546,0.979472141,0.915765509,0.914830256,0.965646179,0.98828125,0.99913119,0.9712313,0.953488372,0.974641676,0,0.285714286,0.504901961,0.038721049,0.959767547
Layer 10,0.99877601,0.891651865,0.899170389,0.979453421,0.992564164,0.958463266,0.975061125,0.913304721,0.912703191,0.963014981,0.989731051,0.99826087,0.972477064,0.976190476,0.972436604,0,0.2,0.431372549,0.083830739,0.959550613
Layer 11,0.998776509,0.897666068,0.894939142,0.977299881,0.991834774,0.956532601,0.978038067,0.909712333,0.910071942,0.963500234,0.989247312,0.996515679,0.965517241,0.987951807,0.971238938,0,0.19047619,0.357843137,0.15846399,0.959256169
Layer 12,0.998165885,0.872180451,0.861370216,0.975406585,0.989884393,0.948886954,0.971070395,0.902038505,0.887694146,0.944365865,0.983799705,0.995640802,0.965277778,0.95,0.957777778,0,0,0.447578257,0.071620089,0.946903964
