index,``,JJ,NN,NNP,IN,QF,(,),VBI,VXH,",",NEG,DT,.,VINF,SFV,PDEM,CC,PRP$,PRP,EMPH,WP,VB,XX,-,JJS,REL,NST,RB,CD,JJR,SFA,HON,DTI,PRR,VBN,:,SYM,'',UH,NFP,PRT,PRI,DRE,...,VN,/,WDT,GW,LS,SFN,VBC,Spearman Corr.,p-value
count,138.0,1933.0,5458.0,1360.0,5119.0,372.0,79.0,79.0,1555.0,1414.0,810.0,135.0,457.0,999.0,437.0,61.0,222.0,549.0,162.0,370.0,133.0,34.0,375.0,2.0,120.0,59.0,207.0,142.0,157.0,453.0,5.0,45.0,13.0,38.0,130.0,41.0,39.0,30.0,23.0,1.0,8.0,35.0,2.0,7.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,3.0,,
Layer 0,1.0,0.7853403141361257,0.8679211787679745,0.699750089253838,0.9656652360515021,0.835742444152431,1.0,1.0,0.7172507655665192,0.7678447678447677,0.9993830968537939,0.9739776951672863,0.8693693693693694,0.996996996996997,0.9229024943310657,0.8055555555555556,0.7942973523421589,0.9802158273381294,0.8035190615835778,0.9121338912133892,0.9924812030075187,0.9428571428571428,0.8870967741935484,0.0,1.0,0.8828828828828829,0.9305555555555556,0.7053941908713692,0.7883211678832116,0.9380733944954127,0.888888888888889,0.417910447761194,0.761904761904762,0.9500000000000001,0.9657794676806083,0.26666666666666666,1.0,1.0,1.0,0.0,0.7058823529411765,0.7792207792207793,0.0,0.25,0.0,0.0,0.0,0.0,0.5714285714285715,0.0,0.0,0.0,0.4861247050671789,0.0002585543479070822
Layer 1,1.0,0.7819178082191781,0.8703556614597123,0.7120651369356032,0.9659678205753292,0.8253968253968254,1.0,1.0,0.7612309869119208,0.8254921588254921,1.0,0.9629629629629629,0.8791208791208791,0.9970000000000001,0.9171396140749148,0.8028169014084507,0.7941176470588236,0.981098109810981,0.7964601769911505,0.9108635097493035,0.9924812030075187,0.9428571428571428,0.8834688346883468,0.0,1.0,0.8928571428571428,0.931764705882353,0.7228915662650603,0.8085106382978723,0.9438717067583048,0.888888888888889,0.46376811594202905,0.761904761904762,0.9487179487179489,0.962121212121212,0.3692307692307692,1.0,1.0,1.0,0.0,0.75,0.7435897435897435,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5086569751633927,0.00011799661926833655
Layer 2,1.0,0.8270799347471451,0.9014233931571036,0.7592732778198336,0.9821848081440877,0.8496042216358839,1.0,1.0,0.9236292428198434,0.9538024164889836,1.0,0.9701492537313433,0.8854961832061069,0.998998998998999,0.937219730941704,0.8787878787878788,0.7991543340380549,0.9864253393665159,0.7940298507462686,0.907563025210084,0.9962264150943396,0.9428571428571428,0.9181208053691275,0.0,1.0,0.8828828828828829,0.9245283018867925,0.8602150537634409,0.812720848056537,0.9500000000000001,0.888888888888889,0.6329113924050633,0.761904761904762,0.9230769230769231,0.9584905660377359,0.5000000000000001,1.0,1.0,1.0,0.0,0.888888888888889,0.8108108108108107,0.0,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5426707354183643,3.236951140109853e-05
Layer 3,1.0,0.8675019994668088,0.9294181034482759,0.8237885462555066,0.9850073493385595,0.8703703703703703,1.0,1.0,0.9407979407979407,0.9591183789548524,1.0,0.9662921348314608,0.8920086393088552,0.998998998998999,0.945945945945946,0.9076923076923077,0.7948717948717948,0.9835766423357664,0.804953560371517,0.9073305670816045,0.9962264150943396,0.9428571428571428,0.9288590604026845,0.0,1.0,0.8928571428571428,0.9386792452830189,0.8642857142857143,0.8368794326241135,0.9546485260770975,0.7499999999999999,0.7142857142857142,0.761904761904762,0.9230769230769231,0.9548872180451128,0.5757575757575758,1.0,1.0,1.0,0.0,0.9411764705882353,0.8450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.563420057311662,1.369264335034143e-05
Layer 4,1.0,0.8867775138558986,0.9439099655109819,0.8555995678790062,0.9862825788751715,0.8791500664010624,1.0,1.0,0.9501126488574188,0.9659815733522324,0.9993830968537939,0.9662921348314608,0.8951965065502184,0.998998998998999,0.9527027027027026,0.8992248062015503,0.8067940552016986,0.9872727272727274,0.7848101265822786,0.9026063100137175,0.9962264150943396,0.9428571428571428,0.9424364123159303,0.0,1.0,0.8623853211009174,0.946135831381733,0.8683274021352312,0.8813559322033898,0.9594594594594594,0.5714285714285715,0.6746987951807228,0.8181818181818181,0.9367088607594938,0.9588014981273408,0.4923076923076923,1.0,1.0,1.0,0.0,1.0,0.8378378378378378,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5505155631769232,2.3538849138801757e-05
Layer 5,0.9928057553956835,0.8988469601677149,0.9464123524069028,0.869090909090909,0.9882537196554425,0.8806366047745358,1.0,1.0,0.9466237942122186,0.9638041163946061,0.9993830968537939,0.9774436090225563,0.9058693244739757,0.998998998998999,0.9491525423728813,0.8906250000000001,0.8247422680412371,0.9882139619220307,0.7961783439490446,0.90633608815427,0.9962264150943396,0.9428571428571428,0.9430463576158941,0.0,1.0,0.8828828828828829,0.9505882352941177,0.8736462093862815,0.8827586206896552,0.962962962962963,0.5714285714285715,0.6428571428571429,0.8181818181818181,0.9500000000000001,0.9588014981273408,0.4444444444444445,1.0,1.0,0.9545454545454545,0.0,1.0,0.8378378378378378,0.0,0.4,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5647732987047284,1.2919309004306959e-05
Layer 6,0.9928057553956835,0.8963556474541227,0.9507627660546268,0.8806673920928546,0.9884652981427176,0.8779840848806366,1.0,1.0,0.9500805152979066,0.9678331565924355,0.9993830968537939,0.9774436090225563,0.9108910891089108,0.99949924887331,0.9560315670800451,0.8923076923076922,0.8157349896480331,0.9891107078039927,0.7975077881619937,0.9134078212290504,0.9962264150943396,0.9295774647887325,0.9454061251664447,0.0,0.995850622406639,0.8828828828828829,0.9503546099290779,0.8727272727272727,0.8788927335640139,0.9627959413754228,0.0,0.6585365853658536,0.761904761904762,0.9500000000000001,0.9588014981273408,0.4923076923076923,1.0,1.0,0.9545454545454545,0.0,1.0,0.8611111111111112,0.0,0.2,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5805839643507132,6.424437013343054e-06
Layer 7,0.9928057553956835,0.8997681010048958,0.951440329218107,0.8826734471485653,0.9874109495462086,0.8811748998664887,1.0,1.0,0.9482870071105366,0.9660537482319661,0.9993830968537939,0.9774436090225563,0.9161147902869757,0.99949924887331,0.9550561797752809,0.9076923076923077,0.8277310924369748,0.9891107078039927,0.7850467289719626,0.914364640883978,0.9962264150943396,0.9275362318840579,0.937249666221629,0.0,0.995850622406639,0.8727272727272728,0.9526066350710901,0.8717948717948719,0.8484848484848485,0.962962962962963,0.0,0.6419753086419753,0.8181818181818181,0.9487179487179489,0.9588014981273408,0.5074626865671641,1.0,1.0,0.9545454545454545,0.0,1.0,0.8450704225352113,0.0,0.2,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5768925388787214,7.587314616749406e-06
Layer 8,0.9928057553956835,0.9003365260160497,0.95271997079226,0.8851032982964843,0.9884878048780488,0.8906882591093118,1.0,1.0,0.9493711705901323,0.965272856130404,0.9993830968537939,0.9774436090225563,0.9086859688195992,0.99949924887331,0.9606299212598425,0.8992248062015503,0.8181818181818182,0.9900090826521344,0.7888198757763976,0.9162011173184358,0.9962264150943396,0.9275362318840579,0.9428950863213812,0.0,0.995850622406639,0.890909090909091,0.9548693586698337,0.8905109489051095,0.8600682593856656,0.9551569506726457,0.33333333333333337,0.6744186046511628,0.761904761904762,0.9487179487179489,0.962406015037594,0.5294117647058824,1.0,1.0,0.9545454545454545,0.0,0.8571428571428571,0.8571428571428571,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6369654849509504,3.840201759928325e-07
