index,PUNCT,SCONJ,ADJ,NOUN,_,ADP,DET,AUX,PROPN,ADV,PRON,VERB,X,CCONJ,NUM,SYM,PART,Spearman Corr.,p-value,"Macro, No Outliars"
count,2303,218,1615,4392,1547,3808,3785,983,1756,849,861,2055,24,582,444,49,7,,,
Layer 0,0.999132321,0.522988506,0.743169399,0.879049434,0.96481126,0.978813559,0.973901639,0.923918449,0.929968812,0.901072706,0.838052095,0.823929961,0.3125,0.959165943,0.938636364,0.958333333,0,0.492647059,0.044524526,0.888996252
Layer 1,0.999565972,0.547803618,0.764201841,0.885293787,0.966112532,0.978402014,0.974432936,0.926587302,0.93629124,0.903341289,0.833524684,0.839246391,0.258064516,0.959377701,0.947368421,0.968421053,0,0.480392157,0.0509616,0.895331385
Layer 2,0.999782939,0.780373832,0.826616682,0.930374042,0.984476067,0.98614593,0.982692562,0.949253731,0.940907793,0.925619835,0.908568143,0.902972243,0.457142857,0.963855422,0.95800227,0.948453608,0.333333333,0.517156863,0.033511352,0.932539673
Layer 3,0.999782939,0.849438202,0.890130354,0.956502039,0.994514359,0.988651359,0.990478709,0.966800805,0.947277937,0.942890443,0.955916473,0.947804878,0.5,0.975986278,0.974069899,0.947368421,0.307692308,0.593137255,0.012085076,0.955174206
Layer 4,0.999782939,0.876404494,0.921501706,0.969072165,0.997088321,0.98959568,0.992198863,0.978337531,0.956223176,0.950646298,0.970469021,0.958130477,0.457142857,0.980189492,0.976271186,0.947368421,0.285714286,0.612745098,0.008919495,0.964218652
Layer 5,0.999782939,0.884792627,0.928327645,0.972134119,0.996767938,0.988820203,0.993119873,0.980253165,0.953775481,0.949093037,0.976259409,0.961687682,0.5,0.976704055,0.97752809,0.947368421,0.363636364,0.617647059,0.008242329,0.965760979
Layer 6,0.999565784,0.871559633,0.932056825,0.974050992,0.997735361,0.989487516,0.991665564,0.982776089,0.956346927,0.944964871,0.976878613,0.966171818,0.411764706,0.974182444,0.972911964,0.948453608,0,0.651960784,0.004568346,0.965253867
Layer 7,0.999565784,0.897959184,0.929889299,0.972433352,0.997088321,0.988427144,0.991396426,0.981284775,0.956122742,0.946938776,0.977391304,0.966796875,0.444444444,0.976784179,0.983089064,0.958333333,0.2,0.580882353,0.014476718,0.96823337
Layer 8,0.999565784,0.899777283,0.931937173,0.973573778,0.996761658,0.989592939,0.991134048,0.981781377,0.958237986,0.949648712,0.979118329,0.9693132,0.486486486,0.977624785,0.978531073,0.948453608,0.2,0.629901961,0.00672793,0.968336782
Layer 9,0.999348534,0.898230088,0.932923077,0.974114441,0.99611399,0.989196311,0.991400979,0.984833165,0.957069262,0.948165405,0.979662987,0.969756098,0.4,0.980257511,0.981941309,0.93877551,0.2,0.617647059,0.008242329,0.968119244
Layer 10,0.999348817,0.901098901,0.929802956,0.971869328,0.99514406,0.988005799,0.990869393,0.982862903,0.95565093,0.940350877,0.980869565,0.966796875,0.411764706,0.976784179,0.979638009,0.958333333,0.2,0.598039216,0.01122109,0.967828395
Layer 11,0.998913752,0.904231626,0.925868963,0.970961887,0.99287103,0.987738958,0.990604737,0.981360202,0.951834862,0.939941691,0.975778547,0.965365854,0.444444444,0.978429681,0.981941309,0.948453608,0,0.598039216,0.01122109,0.966286447
Layer 12,0.999565784,0.891454965,0.900678593,0.964930201,0.974811907,0.985251514,0.987321712,0.972945892,0.937624608,0.916227299,0.968226459,0.948438635,0.074074074,0.977469671,0.971623156,0.9375,0,0.620098039,0.007919521,0.955604693
