index,``,IN,JJ,NN,_,DT,VBC,NNP,",",RB,PRP,'',VBN,.,GW,VBG,SE,DTP$,VB,CC,JJS,CD,B,INDT,-,SYM,RBR,(,),E,RD,RBS,RP,WP,:,JJR,EX,NFP,ADJ,NOUN,WDT,PART,AFX,PRON,ADP,VERB,PUNCT,AUX,WRB,ADV,21,PRP$,FW,Spearman Corr.,p-value
count,82.0,3962.0,1558.0,4641.0,1547.0,3775.0,1757.0,1512.0,988.0,774.0,175.0,82.0,733.0,995.0,8.0,96.0,186.0,226.0,440.0,579.0,36.0,444.0,1.0,53.0,42.0,50.0,40.0,35.0,35.0,8.0,6.0,26.0,6.0,246.0,35.0,18.0,28.0,4.0,1.0,1.0,2.0,1.0,14.0,3.0,1.0,2.0,3.0,4.0,6.0,7.0,1.0,1.0,2.0,,
Layer 0,0.5733333333333334,0.9726845381781223,0.7255291005291006,0.8747080059460607,0.967762527928503,0.9739952718676123,0.9280411193603654,0.9225306649451258,0.9984840828701365,0.8875739644970415,0.5421245421245422,0.632768361581921,0.7697594501718213,0.9959919839679359,0.0,0.8961748633879782,0.9558011049723756,0.9801324503311258,0.9351535836177474,0.967798085291558,0.6875000000000001,0.9386363636363637,0.0,0.0,1.0,0.94,0.463768115942029,1.0,1.0,0.0,0.0,0.48192771084337344,0.0,0.7456445993031358,1.0,0.606060606060606,0.8059701492537313,0.3333333333333333,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724268892521742,1.2527533575073564e-11
Layer 1,0.6111111111111112,0.9715736040609138,0.7455621301775148,0.8850488354620587,0.967349551856594,0.9735769685815696,0.9378531073446328,0.9250480461242794,0.9984840828701365,0.891232696110745,0.554054054054054,0.6885245901639344,0.7969821673525377,0.997491219267436,0.0,0.9312169312169313,0.9558011049723756,0.966740576496674,0.951412429378531,0.9634146341463415,0.7058823529411765,0.9465301478953355,0.0,0.11764705882352941,1.0,0.9494949494949495,0.5263157894736842,1.0,1.0,0.0,0.0,0.5066666666666667,0.13333333333333333,0.7223230490018149,1.0,0.5161290322580646,0.8125000000000001,0.5714285714285715,0.0,0.0,0.0,0.0,0.6923076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858322659139423,3.176296797774368e-12
Layer 2,0.9166666666666666,0.9852067265140978,0.8161550888529887,0.9283246977547496,0.9864428663653971,0.9831899404367967,0.9620826259196378,0.932051282051282,0.9984840828701365,0.9118223383409536,0.7514792899408285,0.9249999999999999,0.8700410396716827,0.9984947315604616,0.4,0.9304812834224598,0.9584487534626038,0.9845474613686535,0.971687429218573,0.9653979238754324,0.732394366197183,0.9614512471655329,0.0,0.875,1.0,0.9494949494949495,0.6904761904761905,1.0,1.0,0.0,0.0,0.7164179104477613,0.28571428571428575,0.8638132295719844,1.0,0.42857142857142855,0.8437499999999999,0.6666666666666666,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8041201581302497,4.1384729610748944e-13
Layer 3,0.9938650306748467,0.9890054340957918,0.8830334190231363,0.9550852947527532,0.9961240310077519,0.9899337748344371,0.9833003113501273,0.9476082004555809,0.9984840828701365,0.9308578745198465,0.8739002932551319,0.993939393939394,0.9153689911983751,0.9979919678714859,0.5454545454545454,0.9528795811518324,0.9562841530054644,0.9911504424778761,0.9806598407281001,0.9792746113989638,0.7222222222222222,0.9740698985343857,0.0,0.9333333333333333,0.988235294117647,0.9484536082474226,0.7045454545454546,1.0,1.0,0.0,0.0,0.8070175438596492,0.28571428571428575,0.9175050301810864,1.0,0.3703703703703704,0.8771929824561403,0.5714285714285715,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974501115291751,8.913797738464636e-13
Layer 4,0.993939393939394,0.99128897866431,0.9184521905980172,0.9700975081256772,0.9977368250889105,0.9916589434661723,0.9903628117913832,0.9501141180306487,0.9984840828701365,0.9408740359897172,0.9017341040462428,0.9878048780487805,0.927848954821308,0.9984947315604616,0.5454545454545454,0.9791666666666666,0.959349593495935,0.9889135254988914,0.9931972789115646,0.9809688581314879,0.7428571428571428,0.9763779527559054,0.0,0.9423076923076923,0.988235294117647,0.9375,0.7789473684210527,1.0,1.0,0.0,0.0,0.9411764705882353,0.25,0.9521912350597609,1.0,0.5333333333333333,0.9642857142857143,0.6666666666666666,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7889508749373443,2.2760170907021742e-12
Layer 5,1.0,0.9917960368547267,0.9265319217196022,0.9740652690728333,0.9977353607246846,0.9921864653688254,0.9940357852882704,0.9535947712418301,0.9984840828701365,0.9417040358744394,0.9190751445086706,1.0,0.9365721997300944,0.9979919678714859,0.4,0.9791666666666666,0.9649595687331537,0.9955947136563876,0.9920724801812004,0.9818181818181819,0.8059701492537312,0.9809203142536477,0.0,0.9523809523809524,0.988235294117647,0.9278350515463918,0.75,1.0,1.0,0.0,0.0,0.9411764705882353,0.3333333333333333,0.9622266401590458,1.0,0.75,0.9454545454545454,0.5714285714285715,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.7894583406439751,2.1547293385278128e-12
Layer 6,1.0,0.9929399899142712,0.92544,0.9741817003348817,0.9974126778783959,0.9911363937028709,0.9946038057370066,0.9562091503267974,0.9984840828701365,0.9417040358744394,0.9298245614035088,1.0,0.9410169491525424,0.9979919678714859,0.2222222222222222,0.9895833333333334,0.96514745308311,0.995575221238938,0.992108229988726,0.9810017271157168,0.7692307692307692,0.9706546275395034,0.0,0.9607843137254902,0.988235294117647,0.9484536082474226,0.7356321839080461,1.0,1.0,0.0,0.0,0.9411764705882353,0.2222222222222222,0.9596774193548387,1.0,0.6206896551724137,0.9285714285714286,0.5714285714285715,0.0,0.0,0.0,0.0,0.6153846153846153,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.7902160568204687,1.985000025262182e-12
Layer 7,1.0,0.9926896899420217,0.9259612329202415,0.9748244192328471,0.997411003236246,0.9908621374652363,0.9954597048808174,0.9555845852384063,0.9984840828701365,0.9420012746972594,0.9398280802292263,1.0,0.9452804377564978,0.9979919678714859,0.2222222222222222,0.9844559585492227,0.972972972972973,0.9933481152993349,0.9875141884222474,0.9844290657439446,0.7941176470588235,0.9819819819819819,0.0,0.9607843137254902,0.988235294117647,0.9583333333333334,0.7951807228915662,1.0,1.0,0.0,0.0,0.9433962264150944,0.2222222222222222,0.9653767820773931,0.9855072463768115,0.8,0.9454545454545454,0.5714285714285715,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7953284610633475,1.1310282666422928e-12
Layer 8,1.0,0.9921736935117396,0.9244501115715653,0.973533542184293,0.9967658473479949,0.9908621374652363,0.9957398466344789,0.9540866167372192,0.9984840828701365,0.9419272495213785,0.9391304347826087,1.0,0.9434989788972089,0.9984947315604616,0.0,0.9895833333333334,0.978494623655914,0.9933481152993349,0.9943374858437145,0.9835782195332756,0.8484848484848485,0.9785794813979707,0.0,0.9615384615384616,0.988235294117647,0.9387755102040817,0.761904761904762,1.0,1.0,0.0,0.0,0.9615384615384616,0.2222222222222222,0.9634146341463414,1.0,0.7741935483870968,0.9642857142857143,0.6666666666666666,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7700260402407589,1.5861608104826833e-11
